name,team,bats,throws
hyeseong kim,LAD,L,R
ian happ,CHC,S,R
ian seymour,TB,L,L
ildemaro vargas,ARI,S,R
isaac collins,KC,S,R
isaac mattson,PIT,R,R
isaac paredes,HOU,R,R
isiah kinerfalefa,BOS,R,R
ivan herrera,STL,R,R
jac caglianone,KC,L,L
jace jung,DET,L,R
jack anderson,BOS,R,R
jack brannigan,PIT,R,R
jack dreyer,LAD,R,L
jack flaherty,DET,R,R
jack kochanowicz,LAA,L,R
jack leiter,TEX,R,R
jack perkins,ATH,R,R
jackson chourio,MIL,R,R
jackson holliday,BAL,L,R
jackson jobe,DET,R,R
jackson merrill,SD,L,R
jackson rutledge,WSH,R,R
jacob degrom,TEX,L,R
jacob latz,TEX,R,L
jacob lopez,ATH,L,L
jacob melton,TB,L,L
jacob misiorowski,MIL,R,R
jacob webb,CHC,R,R
jacob wilson,ATH,R,R
jacob young,WSH,R,R
jaden hill,COL,R,R
jadher areinamo,TB,R,R
jahmai jones,DET,R,R
jake bauers,MIL,L,L
jake bennett,BOS,L,L
jake bird,NYY,R,R
jake bloss,TOR,R,R
jake burger,TEX,R,R
jake cousins,LAD,R,R
jake cronenworth,SD,L,R
jake eder,LAD,L,L
jake fraley,TB,L,L
jake irvin,WSH,R,R
jake mangum,PIT,S,L
jake mccarthy,COL,L,L
jake meyers,HOU,R,L
jake miller,DET,R,R
jake rogers,DET,R,R
jake woodford,MIL,R,R
jakob junis,TEX,R,R
jakob marsee,MIA,L,L
jalen beeks,TEX,L,L
james mcarthur,KC,R,R
james mccann,ARI,R,R
james outman,MIN,L,R
james triantos,CHC,R,R
james wood,WSH,L,R
jameson taillon,CHC,R,R
janson junk,MIA,R,R
jared jones,PIT,L,R
jared koenig,MIL,R,L
jared oliva,SF,R,R
jared serna,MIA,R,R
jared shuster,STL,L,L
jared triolo,PIT,R,R
jared young,NYM,L,R
jarred kelenic,CWS,L,L
jarren duran,BOS,L,R
jason adam,SD,R,R
jason alexander,HOU,R,R
jason foley,SF,R,R
jasson dominguez,NYY,S,R
javier assad,CHC,R,R
javier baez,DET,R,R
javier sanoja,MIA,R,R
jayden murray,HOU,R,R
jazz chisholm jr,NYY,L,R
jc escarra,NYY,L,R
jean cabrera,PHI,R,R
jeferson quero,MIL,R,R
jeff criswell,COL,R,R
jeff hoffman,TOR,R,R
jeff mcneil,ATH,L,R
jeffrey springs,ATH,L,L
jeimer candelario,LAA,S,R
jerar encarnacion,SF,R,R
jeremiah estrada,SD,S,R
jeremiah jackson,BAL,R,R
jeremy pena,HOU,R,R
jesse scholtens,TB,R,R
jesus luzardo,PHI,L,L
jesus rodriguez,SF,R,R
jesus sanchez,TOR,L,R
jesus valdez,ARI,R,R
jhancarlos lara,ATL,R,R
jhoan duran,PHI,R,R
jhonny pereda,SEA,R,R
jhony brito,SD,R,R
jhostynxon garcia,PIT,R,R
jim jarvis,ATL,L,R
jimmy crooks,STL,L,R
jimmy herget,COL,R,R
jj bleday,CIN,L,L
jj wetherholt,STL,L,R
jo adell,LAA,R,R
joc pederson,TEX,L,L
joe boyle,TB,R,R
joe jimenez,ATL,R,R
joe mack,MIA,L,R
joe mantiply,TOR,R,L
joe musgrove,SD,R,R
joe rock,TB,L,L
joe ryan,MIN,R,R
joel kuhnel,ATH,R,R
joel payamps,ATL,R,R
joel peguero,SF,R,R
joey bart,PIT,R,R
joey cantillo,CLE,L,L
joey estes,ATH,R,R
joey gerber,NYM,R,R
joey loperfido,HOU,L,R
joey ortiz,MIL,R,R
joey wentz,ATL,L,L
joey wiemer,WSH,R,R
johan oviedo,BOS,R,R
johan rojas,PHI,R,R
john king,MIA,L,L
john klein,MIN,R,R
john rave,KC,L,L
john schreiber,KC,R,R
johnathan rodriguez,BAL,R,R
jojo romero,STL,L,L
jonah heim,ATH,S,R
jonah heim,ATL,S,R
jonah tong,NYM,R,R
jonatan clase,TOR,S,R
jonathan aranda,TB,L,R
jonathan bowlan,PHI,R,R
jonathan cannon,CWS,R,R
jonathan india,KC,R,R
jonathan loaisiga,ARI,R,R
jonathan pintaro,NYM,R,R
jonny deluca,TB,R,R
jorbit vivas,WSH,L,R
jordan beck,COL,R,R
jordan hicks,CWS,R,R
jordan lawlar,ARI,R,R
jordan leasure,CWS,R,R
jordan montgomery,TEX,L,L
jordan romano,LAA,R,R
jordan walker,STL,R,R
jordan westburg,BAL,R,R
jordan wicks,CHC,L,L
jorge barrosa,ARI,S,L
jorge mateo,ATL,R,R
jorge polanco,NYM,S,R
jorge soler,LAA,R,R
jose a ferrer,SEA,L,L
jose altuve,HOU,R,R
jose alvarado,PHI,L,L
jose azocar,ATL,R,R
jose berrios,TOR,R,R
jose butto,SF,R,R
jose caballero,NYY,R,R
jose corniell,TEX,R,R
jose espada,BAL,R,R
jose fermin,LAA,R,R
jose fermin,STL,R,R
jose fernandez,ARI,R,R
jose franco,CIN,R,R
jose quintana,COL,R,L
jose ramirez,CLE,S,R
jose soriano,LAA,R,R
jose suarez,ATL,L,L
jose suarez,SEA,L,L
jose tena,WSH,L,R
jose trevino,CIN,R,R
jose urquidy,PIT,R,R
josh bell,MIN,S,R
josh ekness,MIA,R,R
josh fleming,TOR,L,L
josh hader,HOU,L,L
josh jung,TEX,R,R
josh lowe,LAA,L,R
josh naylor,SEA,L,L
josh simpson,SEA,L,L
josh smith,TEX,L,R
josh white,MIA,R,R
joshua baez,STL,R,R
josiah gray,WSH,R,R
jovani moran,BOS,L,L
jp crawford,SEA,L,R
jp sears,SD,R,L
jr ritchie,ATL,R,R
jt brubaker,SF,R,R
jt ginn,ATH,R,R
jt realmuto,PHI,R,R
juan brito,CLE,S,R
juan burgos,ARI,R,R
juan mejia,COL,R,R
juan morillo,ARI,R,R
juan soto,NYM,L,L
juan yepez,TOR,R,R
julian aguiar,CIN,L,R
julian fernandez,WSH,R,R
julio rodriguez,SEA,R,R
jung hoo lee,SF,L,R
junior caminero,TB,R,R
junior perez,ATH,R,R
jurickson profar,ATL,S,R
justin bruihl,STL,L,L
justin crawford,PHI,L,R
justin dean,CHC,R,R
justin foscue,TEX,R,R
justin hagenman,NYM,R,R
justin lawrence,PIT,R,R
justin martinez,ARI,R,R
justin slaten,BOS,R,R
justin steele,CHC,L,L
justin sterner,ATH,R,R
justin topa,MIN,R,R
justin verlander,DET,R,R
justin wrobleski,LAD,L,L
justynhenry malloy,TB,R,R
kade strowd,ARI,R,R
kahlil watson,CLE,L,R
kaiwei teng,HOU,R,R
kameron misner,KC,L,L
kazuma okamoto,TOR,R,R
keaton winn,SF,R,R
kebryan hayes,CIN,R,R
keegan akin,BAL,L,L
keibert ruiz,WSH,S,R
keider montero,DET,R,R
ken waldichuk,WSH,L,L
kendry rojas,MIN,L,L
kenley jansen,DET,S,R
kerry carpenter,DET,L,R
kervin castro,NYY,R,R
ketel marte,ARI,S,R
kevin alcantara,CHC,R,R
kevin gausman,TOR,L,R
kevin ginkel,ARI,L,R
kevin kelly,TB,R,R
kevin mcgonigle,DET,L,R
kike hernandez,LAD,R,R
kirby yates,LAA,L,R
kodai senga,NYM,L,R
kody clemens,MIN,L,R
